F,amin,amax,Ns,Nss,Nsp,Np,Npp,Nspp,Nppp,Nppph,Npppp,M,dM,m,dm,a,da,e,de,d,dd
PlN2500n600spp_a+100+200+_R0.5pcQ05_R.R1.0010.csv,100,200,1915.0,0.0,585.0,59.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0   
PlN2500n600spp_a+200+300+_R0.5pcQ05_R.R1.0010.csv,200,300,1932.0,1.0,566.0,190.0,1.0,0,0,0,0,3.216,+0.000,1.538,+0.000,16.081,+0.000,0.828,+0.000,10.047,+1.928
PlN2500n600spp_a+300+400+_R0.5pcQ05_R.R1.0010.csv,300,400,1972.0,0.0,528.0,256.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0   
PlN2500n600spp_a+400+500+_R0.5pcQ05_R.R1.0010.csv,400,500,1971.0,1.0,527.0,332.0,1.0,0,0,0,0,6.651,+0.000,4.282,+0.000,43.606,+0.000,0.722,+0.000,58.137,+6.175
PlN2500n600spp_a+500+600+_R0.5pcQ05_R.R1.0010.csv,500,600,1996.0,0.0,504.0,361.0,2.0,0,0,0,0,2.760,+0.501,1.348,+0.174,76.906,+13.623,0.618,+0.099,91.566,+12.116
PlN2500n600spp_a+600+700+_R0.5pcQ05_R.R1.0010.csv,600,700,2031.0,0.0,469.0,442.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0   
PlN2500n600spp_a+800+900+_R0.5pcQ05_R.R1.0010.csv,800,900,2094.0,0.0,406.0,556.0,2.0,0,0,0,0,5.172,+2.100,1.433,+0.392,74.224,+11.098,0.991,+0.002,92.784,+13.273
PlN2500n300cs+1000+1200+R05pcQ05_R.R1.0010.csv,1000,1200,2218.0,0.0,282.0,177.0,4.0,0,0,0,0,1.952,0.621,0.000,0.000,155.598,96.243,0.474,0.109,97.506,60.452
PlN2500n300cs+1000+1500+R05pcQ05_R.R1.0010.csv,1000,1500,2311.0,0.0,189.0,216.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlN2500n300cs+1100+1300+R05pcQ05_R.R1.0010.csv,1100,1300,2359.0,0.0,141.0,244.0,5.0,0,0,0,0,2.605,0.099,0.000,0.000,87.196,424.283,0.936,0.019,86.886,12.430
PlN2500n300cs+1200+1400+R05pcQ05_R.R1.0010.csv,1200,1400,2466.0,0.0,34.0,309.0,3.0,0,0,0,0,1.839,0.402,0.000,0.000,107.933,14.423,0.706,0.126,115.163,7.137
PlN2500n300cs+1300+1500+R05pcQ05_R.R1.0010.csv,1300,1400,2497.0,0.0,3.0,314.0,9.0,0,0,0,0,1.988,0.077,0.000,0.000,140.021,42.242,0.827,0.159,94.280,77.773
PlN2500n300cs+1400+1600+R05pcQ05_R.R1.0010.csv,1400,1600,2497.0,0.0,3.0,316.0,7.0,0,0,0,0,2.609,0.309,0.000,0.000,140.436,66.190,0.909,0.079,119.228,76.991
PlN2500n300cs+1500+1700+R05pcQ05_R.R1.0010.csv,1500,1700,2498.0,0.0,2.0,332.0,3.0,0,0,0,0,3.316,0.238,0.000,0.000,510.962,8.551,0.895,0.032,79.202,74.308
PlN2500n300cs+1600+1800+R05pcQ05_R.R1.0010.csv,1600,1800,2499.0,0.0,1.0,330.0,8.0,0,0,0,0,2.013,0.210,0.000,0.000,170.832,348.785,0.807,0.171,137.915,58.245
PlN2500n300cs+1800+2000+R05pcQ05_R.R1.0010.csv,1800,2000,2499.0,0.0,1.0,325.0,3.0,0,0,0,0,2.307,0.617,0.000,0.000,511.975,192.319,0.989,0.001,237.992,134.448
PlN2500n300cs+2800+3000+R05pcQ05_R.R1.0010.csv,2800,3000,2500.0,0.0,0.0,328.0,6.0,0,0,0,0,1.593,0.234,0.000,0.000,103.239,97.270,0.950,0.022,159.885,18.595
PlN2500n300cs+2900+3000+R05pcQ05_R.R1.0010.csv,2900,3000,2500.0,0.0,0.0,312.0,4.0,0,0,0,0,2.564,0.798,0.000,0.000,237.590,174.365,0.964,0.017,232.003,99.444
PlN2500n300cs+300+500+R05pcQ05_R.R1.0010.csv,300,500,2204.0,0.0,296.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlN2500n300cs+3800+4000+R05pcQ05_R.R1.0010.csv,3800,4000,2500.0,0.0,0.0,332.0,2.0,0,0,0,0,1.816,0.172,0.000,0.000,117.779,5.328,0.969,0.006,182.333,7.019
PlN2500n300cs+700+1000+R05pcQ05_R.R1.0010.csv,700,1000,2203.0,0.0,297.0,79.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
